,AirLine,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage
129,Cambodia Angkor Air,30,30,15,25,30,30,35,30,25
130,Canadian North,35,35,25,35,45,40,40,40,35
131,Canaryfly,35,35,25,40,35,40,40,40,30
132,Cape Air,30,30,20,30,35,35,35,35,15
133,Caribbean Airlines,35,35,25,35,35,35,40,40,35
134,Caspian Airlines,30,30,15,25,35,35,35,35,30
135,Cathay Dragon (Dragonair),35,35,35,35,40,35,40,40,35
38,Cathay Pacific,40,40,40,40,40,40,40,40,40
39,Cayman Airways,35,35,20,30,35,35,40,35,35
136,Cebu Pacific Air,30,30,20,25,30,35,35,30,25
137,CemAir,30,30,20,35,35,30,35,35,30
138,Central Mountain Air,35,30,20,30,35,35,40,40,30
139,Chair Airlines,30,30,20,30,30,35,35,30,30
140,Cham Wings,40,40,25,50,50,40,40,45,40
141,Chengdu Airlines,35,35,25,35,35,35,40,40,35
40,China Airlines,40,40,35,35,40,40,40,40,35
142,China Eastern Airlines,35,30,25,30,30,35,35,30,30
10,China Express Airlines,40,45,35,,40,50,40,45,35
143,China Southern Airlines,35,35,30,35,35,40,40,35,35
144,China United Airlines,30,35,20,25,30,30,35,35,25
11,Chongqing Airlines,25,30,20,,30,30,35,25,30
145,Cinnamon Air,40,40,35,50,45,40,45,45,30
41,Citilink,35,35,25,35,40,40,40,40,30
146,CityJet,35,35,20,35,40,35,40,40,35
12,Citywing [no longer operating],40,40,25,,40,40,40,40,10
147,CM Airlines,30,30,20,40,40,35,35,40,25
148,Cobalt [no longer operating],35,35,20,35,40,40,40,40,30
149,Condor,30,30,25,25,30,30,35,35,30
150,Contour Airlines,45,40,25,40,35,35,40,35,35
42,Copa Airlines,35,35,35,35,40,35,40,40,35
151,Corendon Airlines,30,30,20,25,30,35,35,35,25
152,Corsair,30,30,30,30,35,35,40,35,30
153,Croatia Airlines,35,35,20,30,35,35,40,35,35
154,Cubana de Aviacion,30,30,15,25,25,30,30,30,25
155,Cyprus Airways,30,35,20,25,35,35,40,40,25
156,Czech Airlines,30,30,20,25,30,30,35,30,25
43,Daallo Airlines,30,30,10,30,30,30,,,
13,Dalian Airlines,35,35,20,,35,45,40,35,30
157,DAT Danish Air Transport,30,30,20,30,40,35,40,40,35
44,Delta Air Lines,35,35,40,40,40,35,40,40,35
158,Denver Air Connection,40,40,25,50,40,40,45,45,45
159,Dniproavia [no longer operating - merged into Windrose Airlines],30,30,15,25,30,30,35,35,25
160,Donghai Airlines,35,35,15,35,35,35,40,30,30
45,Druk Air,40,40,20,40,40,35,40,40,35
161,Dynamic International Airways,20,20,10,15,20,15,20,20,20
162,Eagle Air,40,40,25,50,40,40,40,40,35
163,Eastar Jet,30,30,20,30,35,40,35,35,25
164,Eastern Airways,35,35,15,35,35,30,40,35,30
165,EasyFly,35,35,20,40,35,35,40,35,25
166,easyJet,30,30,20,30,35,40,40,35,30
46,Edelweiss Air,35,35,35,40,40,40,45,40,40
167,EGYPTAIR,35,35,30,30,35,35,35,35,35
47,EL AL Israel Airlines,35,35,30,35,35,35,40,40,35
168,Elite Airways,35,35,20,35,40,40,40,40,35
169,Ellinair,35,35,20,35,40,40,40,40,40
48,Emirates,40,40,45,40,40,40,45,45,40
170,Enter Air,35,35,20,30,35,35,40,40,30
171,Equatorial Congo Airlines [no longer operating],30,35,25,40,35,25,25,15,20
