,AirLine,country,totalScore,reviews,excellent,veryGood,average,poor,terrible,
203,Czech Airlines,czech republic,30,2492,374,565,500,366,687,
204,Daallo Airlines,united arab emirates,45,3,2,0,1,0,0,
205,Dalian Airlines,china,40,5,1,3,1,0,0,
206,DAT Danish Air Transport,denmark,35,400,103,143,70,30,54,
207,Delta Air Lines, ,40,59864,24767,18395,7632,3672,5399,
208,Denver Air Connection, ,35,25,13,2,0,2,8,
209,Dniproavia [no longer operating - merged into Windrose Airlines],ukraine,30,20,3,5,7,3,2,
210,Donghai Airlines,china,25,11,1,2,4,0,4,
211,Druk Air,bhutan,40,317,135,127,51,2,2,
212,Dynamic International Airways, ,15,95,3,6,5,6,75,
213,Eagle Air,uganda,40,16,7,4,4,0,1,
214,Eastar Jet,korea,35,153,26,64,30,6,27,
215,Eastern Airways, ,30,231,63,41,21,17,89,
216,EasyFly,colombia,35,119,33,35,16,6,29,
217,easyJet, ,35,57342,14611,19439,9273,4162,9869,
218,Edelweiss Air,switzerland,40,3340,1545,967,341,203,284,
219,EGYPTAIR,egypt,35,4045,920,1238,866,367,655,
220,EL AL Israel Airlines,israel,35,4528,1417,1234,763,463,651,
221,Elite Airways, ,35,169,72,24,12,9,52,
222,Ellinair,greece,35,933,364,233,74,68,194,
223,Emirates,united arab emirates,40,62452,35854,13873,5718,2787,4227,
224,Enter Air,poland,35,2635,638,847,470,255,425,
225,Equatorial Congo Airlines [no longer operating],congo,25,8,0,0,5,1,2,
226,Eritrean Airlines,eritrea,40,2,0,2,0,0,0,
227,Ernest [no longer operating],italy,20,432,59,52,40,26,255,
228,Ethiopian Airlines,ethiopia,35,5794,1291,1887,1104,496,1016,
229,Etihad Airways,united arab emirates,35,16968,5226,4085,2718,1573,3366,
230,Etihad Regional [no longer operating],switzerland,35,65,22,14,13,5,11,
231,Euro Atlantic,portugal,25,143,17,25,27,21,53,
232,European Coastal Airlines [no longer operating],croatia,25,25,6,2,2,1,14,
233,Eurowings,germany,30,10087,1492,2466,1756,1074,3302,
234,EVA Air,taiwan,45,6842,3659,2147,546,216,274,
235,Far Eastern Air Transport [no longer operating],taiwan,45,15,7,5,3,0,0,
236,fastjet, ,30,268,48,78,34,18,90,
237,Fiji Airways,fiji,35,2580,728,694,460,260,438,
238,Finnair,finland,35,7776,2522,2748,1173,485,848,
239,firefly,malaysia,35,243,58,108,32,5,40,
240,First Air,canada,40,52,22,18,7,3,2,
241,Flair Airlines,canada,25,4102,830,494,244,282,2270,
242,Fly Allways,suriname,30,3,0,1,1,1,0,
243,Fly Baghdad,iraq,20,6,0,1,0,2,3,
244,Fly Tiwi,australia,20,1,0,0,0,1,0,
245,Fly540,kenya,25,174,32,31,24,15,72,
246,Flyadeal,saudi arabia,20,131,13,15,11,4,89,
247,FlyArystan,kazakhstan,25,120,40,3,5,7,67,
248,Flybe [no longer operating], ,35,8128,2342,2229,1038,587,1932,
