371, Mauritania Airlines
372, Maya Island Air
373, Mayair
374, MIAT Mongolian Airlines
375, Middle East Airlines
376, Mistral Air
377, Mokulele Airlines
378, Monacair
379, Monarch [no longer operating]
380, Montenegro Airlines
381, Myanmar Airways International
382, Myanmar National Airlines
383, MyWay Airlines
384, Nam Air
385, Nature Air (no longer operating)
386, Nauru Airlines
387, NEOS
388, Nepal Airlines
389, Nesma Airlines Egypt
390, NewLeaf [no longer operating - merged into Flair Airlines]
391, Nextjet [no longer operating]
392, Niki [no longer operating]
393, Nile Air
394, Nok Air
395, NokScoot
396, Nordica
397, Nordstar Airlines
398, Nordwind Airlines
399, Norwegian
400, Nouvel Air Tunise
401, NOVOAIR
402, Okay Airways
403, Olympic Air [NOT Olympus Airways]
404, Oman Air
405, Onur Air
406, OpenSkies [no longer operating]
407, Orbest (no longer operating)
408, Pacific Coastal Airlines
409, Pakistan International Airlines
410, PAL Airlines (Canada)
411, Pascan
412, Passaredo Linhas Aereas
413, PAWA Dominicana [no longer operating]
414, Peach Aviation
415, Pegas Fly
416, Pegasus Airlines
417, Penobscot Island Air
418, People's Airline
419, Peruvian Airlines [no longer operating]
420, Philippine Airlines (PAL)
421, Plus Ultra Lineas Aereas
422, PNG Air
423, Pobeda
424, Porter Airlines
425, Precision Air
426, Primera Air [no longer operating]
427, Proflight Zambia
428, Qantas
429, Qatar Airways
430, QAZAQ AIR
431, Qeshm Airlines
432, Qingdao Airlines
433, Ravn Alaska
434, REALtonga
435, Red Wings
436, Regent Airways
437, Regional Air
438, Regional Express Airlines
439, Rossiya Russian Airlines
440, Royal Air Maroc
441, Royal Brunei Airlines
442, Royal Jordanian
443, Ruili Airlines
444, RusLine
445, RwandAir
446, Ryanair
447, S7 airlines
448, Safarilink
449, Safi Airways
450, SalamAir
451, Samoa Airlines
452, San German Express
453, SANSA
454, Saratov/Ivolga [no longer operating]
455, SAS
456, SATA - Azores Airlines
457, SATENA Colombia
458, Saudia Airlines
459, SaudiGulf Airlines
460, SCAT Airlines
461, Scoot
462, Seaborne Airlines
463, SereneAir
464, Sevenair/AeroVIP
465, Severstal Air Company
466, Shaheen Air International
467, Shandong Airlines
468, Shanghai Airlines
469, Sharp Airlines
470, Shenzhen Airlines
471, Shree
472, Sichuan Airlines
473, SilkAir
474, Silver Airways
475, Silverstone Air
476, Simrik Airlines
477, Singapore Airlines
478, Sky Airline
479, Sky Angkor Airlines
480, Sky Express
481, Sky Shuttle
482, Skyjet Airlines
483, Skymark Airlines
484, SkyUp
485, Skyway Airlines
486, SkyWork Airlines [no longer operating]
487, Small Planet Airlines [no longer operating
488, Smartavia
489, SmartWings
490, Solaseed Air
491, Solomon Airlines
492, Somon Air
493, Sosa (Aerolineas Sosa)
494, Sounds Air
495, South African Airways
496, Southern Airways Express
497, Southwest Airlines
498, SpiceJet
499, Spirit Airlines
500, Spring Airlines
501, Spring Airlines Japan
502, SprintAir (Polish airline)
503, SriLankan Airlines
504, Sriwijaya Air
505, St Barth Commuter
506, Star Peru
507, Starbow [no longer operating]
508, Starflyer
509, Sudan Airways
510, Sun Air Express
511, Sun Country Airlines
512, Sunclass Airlines
513, Sundair
514, SunExpress
515, Sunrise Airways
516, Sunwing Airlines
517, Suparna Airlines
518, Surinam Airways
519, Swiss International Air Lines [SWISS]
520, Swoop
521, SyrianAir
522, T Way Airlines
523, TAAG Angola Airlines
524, Taban Air
525, TAG
526, Tailwind Airlines
527, Tajik Air
528, TAM Airlines Brazil
529, TAME Vuela Ecuador
530, TAP Air Portugal
531, TAR Aerolineas
532, TAROM
533, Thai Airways
534, Thai Lion Air
535, THAI Smile Airways
536, Thai Vietjet
537, Thomas Cook Airlines (UK) [no longer operating]
538, Thomas Cook Airlines Belgium [no longer operating]
539, Tianjin Airlines
540, Tiara Air Aruba
541, Tibet Airlines
542, tigerair australia
543, Tigerair Singapore [no longer operating]
544, tigerair taiwan
545, Tradewind Aviation
546, Trans Air Congo (TAC)
547, Trans Guyana
548, Trans Maldivian
549, Transavia
550, TransNusa
551, Trigana Air Service
552, Tropic Air Belize
553, Tropic Ocean Airways
554, Trujet
555, Tsaradia
556, TUI Airlines Netherlands
557, TUI Airways (United Kingdom)
558, TUI fly Belgium (formerly Jetairfly)
559, TUIfly (Germany)
560, Tunisair
561, Turkish Airlines
562, Turkmenistan Airlines
563, Tus Air
564, Twin Jet
565, Ukraine International Airlines
566, Uni Air
567, United Airlines
568, Ural Airlines
569, Urumqi Air
570, US-Bangla Airlines
571, Utair
572, Uzbekistan Airways
573, Vanilla Air [merged with Peach as of 27.10.2019]
574, VASCO
575, Veca Airlines [no longer operating]
576, Via Airlines [no longer operating]
577, Vieques Air Link
578, VietJetAir
579, Vietnam Airlines
580, Vim Airlines [no longer operating]
581, Virgin America (now Alaska Airlines)
582, Virgin Atlantic Airways
583, Virgin Australia
584, Vistara
585, Viva Aerobus
586, Viva Air (Colombia)
587, Viva Air (Peru)
588, VLM Airlines [no longer operating]
589, Volaris
590, Volotea
591, Vueling Airlines
592, Wamos Air
593, Wantaniya Airways [no longer operating]
594, West Air
595, WestJet
596, Wideroe
597, Winair
598, Windrose Air
599, Wingo
600, Wings Air
601, Wizz Air
602, WOW air [no longer operating]
603, Xiamen Airlines
604, XL Airways [no longer operating]
605, Xpressair
606, Yakutia Air
607, Yamal Airlines
608, Yanair
609, Yemenia
610, Yeti Airlines
611,Zagros Airlines
612,9 Air
