,AirLine,country,totalScore,reviews,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage,excellent,veryGood,average,poor,terrible
573, VASCO,viet nam,30,20,30,30,20,20,30,30,35,35,25,4,3,8,2,3
574, Veca Airlines [no longer operating],el salvador,40,12,40,40,25,50,40,45,45,45,30,4,4,4,0,0
575, Via Airlines [no longer operating],united states,15,226,25,20,15,20,20,20,25,25,20,23,13,7,5,178
576, Vieques Air Link,puerto rico,40,74,35,35,30,40,40,40,40,40,25,37,15,6,3,13
577, VietJetAir,viet nam,25,4287,25,30,15,25,25,30,35,30,25,508,868,680,414,1818
578, Vietnam Airlines,viet nam,40,7762,40,35,30,35,40,40,40,40,35,2376,2919,1390,507,570
579, Vim Airlines [no longer operating],russia,30,160,35,35,15,30,35,35,35,30,25,19,53,24,26,38
580, Virgin America (now Alaska Airlines),united states,40,2204,40,40,40,40,40,40,45,40,35,1127,519,257,135,166
581, Virgin Atlantic Airways,united kingdom,40,15380,40,40,40,40,45,40,45,45,40,7906,3837,1693,885,1059
582, Virgin Australia,australia,40,11582,35,35,30,35,40,35,40,40,35,4149,3815,1766,814,1038
583, Vistara,india,40,2840,40,40,30,40,40,40,45,45,40,1614,678,192,67,290
584, Viva Aerobus,mexico,25,3808,30,30,20,25,30,30,35,30,25,572,754,574,303,1609
585, Viva Air (Colombia),colombia,20,2183,25,25,15,15,20,25,30,25,20,201,232,198,141,1412
586, Viva Air (Peru),peru,15,884,20,20,15,15,15,20,25,20,15,41,56,37,53,697
587, VLM Airlines [no longer operating],belgium,30,9,30,30,20,10,35,35,30,40,30,1,4,2,0,2
588, Volaris,mexico,25,6783,25,30,15,25,30,30,35,30,20,1105,1400,1160,650,2471
589, Volotea,spain,30,16848,35,35,25,30,35,35,35,35,30,4465,4406,1481,1163,5354
590, Vueling Airlines,spain,25,27521,25,30,15,25,30,30,35,30,25,3547,6284,4589,2816,10292
591, Wamos Air,spain,25,2369,25,25,20,25,30,30,30,30,25,506,351,367,292,854
592, Wantaniya Airways [no longer operating],kuwait,10,18,15,15,10,10,10,15,20,20,20,0,1,0,0,17
593, West Air,china,40,98,35,35,30,20,40,40,40,40,35,39,25,21,4,9
594, WestJet,canada,35,16117,35,35,30,35,40,35,40,40,35,6483,4336,1995,1048,2256
595, Wideroe,norway,35,419,35,35,20,35,40,35,40,40,30,140,154,57,16,52
596, Winair,netherlands,25,173,30,30,15,30,30,25,35,30,20,46,26,12,13,76
597, Windrose Air,ukraine,40,227,35,35,25,30,40,40,40,40,35,104,65,27,9,22
598, Wingo,colombia,25,660,30,30,15,25,25,30,35,30,25,109,115,60,45,331
599, Wings Air,indonesia,25,309,25,30,15,20,25,30,30,30,20,26,59,86,35,103
600, Wizz Air,hungary,25,18917,25,30,15,25,30,30,35,30,25,2947,4002,2666,1575,7736
601, WOW air [no longer operating],iceland,30,9081,30,30,15,30,30,35,40,30,20,1912,2114,1245,1024,2786
602, Xiamen Airlines,china,35,652,35,35,30,35,35,40,40,35,35,179,208,121,46,98
603, XL Airways [no longer operating],france,25,1974,20,25,20,25,30,30,35,30,25,137,379,410,389,659
604, Xpressair,indonesia,25,3,40,35,25,40,35,30,30,40,20,0,0,2,0,1
605, Yakutia Air,russia,30,205,35,35,20,30,35,30,35,35,35,57,36,31,21,60
606, Yamal Airlines,russia,35,105,30,35,20,35,35,35,40,35,35,29,26,19,6,25
607, Yanair,ukraine,25,164,30,30,15,25,30,30,35,25,25,24,24,19,11,86
608, Yemenia,yemen,30,4,35,35,25,,25,25,30,25,35,1,0,1,2,0
609, Yeti Airlines,nepal,35,229,35,35,20,40,40,35,35,35,30,80,62,44,15,26
610,Zagros Airlines,iran,35,32,30,35,15,30,35,40,35,35,30,5,11,9,6,1
611,9 Air,china,25,12,25,30,15,15,25,30,35,25,20,0,1,4,4,3
