,AirLine,country,totalScore,reviews,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage,excellent,veryGood,average,poor,terrible
112, Angara Airlines,russia,40,13,35,35,20,,40,35,40,40,35,6,5,1,0,1
113, Anguilla Air Services,anguilla,45,109,35,35,25,45,45,45,45,45,25,91,7,0,1,10
114, Ariana Afghan Airlines,afghanistan,20,6,30,30,20,30,25,20,20,35,15,1,0,1,1,3
115, Arik Air,niger,20,116,30,25,15,20,25,25,25,20,20,3,19,27,15,52
116, Arkia Israel Airlines,israel,30,765,30,30,20,25,30,30,35,30,25,150,165,119,97,234
117, Aruba Airlines,aruba,25,126,30,30,15,25,25,25,30,30,20,24,16,13,5,68
118, Aserca Airlines (no longer operating),venezuela,30,74,35,30,15,20,30,30,35,30,25,9,18,18,13,16
119, Asia Atlantic Airlines,thailand,35,7,30,30,25,10,25,30,30,30,25,1,4,0,1,1
120, Asiana Airlines,korea,40,3560,40,40,35,40,40,40,40,40,40,1452,1221,514,165,208
121, ASKY Airlines,togo,25,95,30,30,15,25,30,30,30,30,30,7,20,25,11,32
122, ASL France,france,30,588,30,30,20,30,35,30,35,35,25,103,190,107,53,135
123, Astra Airlines,greece,30,236,30,30,20,20,35,30,35,35,30,51,59,38,26,62
124, ATA Airlines (Iran),iran,25,51,25,25,15,15,25,30,30,30,30,3,6,23,9,10
125, Atlantic Airways,faroe islands,45,220,40,40,30,35,45,40,45,45,40,114,77,16,6,7
126, Atlas Air,united states,25,69,35,35,25,30,35,35,40,35,35,11,17,8,4,29
127, AtlasGlobal [no longer operating],turkey,35,1142,35,35,20,30,35,35,35,35,35,312,301,167,97,265
128, Aurigny,united kingdom,40,358,40,40,20,40,40,35,45,40,35,173,111,28,17,29
129, Aurora,russia,40,66,35,35,25,45,40,35,40,40,35,25,25,13,0,3
130, Austral Lineas Aereas,argentina,40,210,35,35,30,35,40,35,40,40,30,73,83,45,6,3
131, Austrian Airlines,austria,35,8447,35,35,30,35,40,35,40,40,35,2895,2548,1127,616,1262
132, Avianca,colombia,40,19129,40,40,40,35,40,35,40,40,35,7054,6275,2290,1102,2410
133, Avior Airlines,venezuela,25,201,25,25,15,20,25,25,30,25,20,16,30,52,36,67
134, Azerbaijan Airlines,azerbaijan,40,593,40,40,30,35,40,40,45,40,40,274,165,66,23,66
135, Azimuth,russia,30,176,35,35,20,20,35,35,40,35,30,54,31,14,7,71
136, Aztec Airways,united states,40,9,40,40,40,,50,40,40,50,45,7,0,0,0,2
137, Azul,brazil,45,17339,40,40,40,40,45,40,45,45,40,10160,5139,1066,371,604
138, Azur Air,russia,30,1919,30,30,20,25,35,35,35,35,30,492,430,321,225,451
139, Bahamasair,bahamas,25,542,30,30,15,20,25,25,30,30,20,73,78,65,55,271
140, Bamboo Airways,viet nam,30,190,35,35,25,30,35,35,40,40,35,64,33,11,11,71
141, Bangkok Airways,iran,40,4606,40,40,25,40,40,40,45,45,40,2205,1506,447,166,282
142, Bassaka Air,cambodia,40,95,40,40,20,45,40,45,40,40,35,50,32,3,2,8
143, Batik Air,indonesia,35,1144,40,40,35,35,35,35,35,35,30,232,483,247,90,92
144, Bayon Airlines,cambodia,30,37,30,30,20,35,35,35,30,35,25,6,9,6,2,14
145, Bearskin Airlines,canada,25,13,20,20,10,20,30,20,30,35,10,1,4,2,1,5
146, Beijing Capital Airlines,china,30,97,35,30,25,30,35,35,40,35,30,16,23,31,10,17
147, Bek Air,kazakhstan,30,27,30,25,15,20,30,35,30,35,25,4,5,7,4,7
148, Belavia Belarusian Airlines,belarus,35,1186,35,35,20,30,40,35,40,40,35,425,363,176,69,153
149, BH Air,bulgaria,25,24,25,30,10,30,25,30,30,30,25,5,1,3,3,12
150, Bhutan Airlines,bhutan,45,149,40,40,25,45,40,40,45,40,40,83,45,13,2,6
151, Biman Bangladesh Airlines,bangladesh,30,381,30,30,25,30,30,35,30,30,30,64,93,82,40,102
152, Binter,spain,40,1012,35,40,30,40,40,40,40,40,40,520,270,61,27,134
